price_x,size,brand,category,text,0,1,2,3,4,5,6,7
40.0,16,@EMGIRL ,skirt,@EMGIRL - Wool blend skirt! 16,0.03817959097663368,0.0,0.020947707387269403,0.011230295196910668,0.07990449775161383,0.0,0.0,0.0253476255987382
45.0,12,A WEAR ,dress,A WEAR - Emerald ribbed swing dress! 12,0.007441731119978428,0.0,0.0,0.02156145767891005,0.10103970862091467,0.0,0.0,0.005943141846999404
95.0,8,ADIDAS ,sneakers,ADIDAS - Swift run khaki metallic sneakers! 8,0.0,0.019834448660459265,0.0,0.0,0.028624478613771723,0.034655778032245114,0.0,0.003003263783788012
49.0,8,AEROSOLES ,loafers,AEROSOLES - Gold leather loafers! 8,0.0,0.26205391299995145,0.0025824146564068793,0.0,0.002654394840439862,0.0,0.0018512219267923786,0.0011179915574402266
25.0,10,ALANNAH HILL ,dress,ALANNAH HILL - Wool blend pinafore dress! 10,0.0,0.0025166583897588053,0.00890448564723783,0.0059549309845165314,0.18402886957907694,0.0,0.0,0.07348566441424657
35.0,10-12,ALL ABOUT EVE ,jumper,ALL ABOUT EVE - Sundays roll neck knit jumper! 10-12,0.0946390829605641,0.0,0.0,0.060154824693028644,0.0,0.0,0.0,0.01764417432947923
40.0,12,ALL ABOUT EVE ,coat,ALL ABOUT EVE - Wool blend duffle coat! 12,0.0,0.013749177243726405,0.006940353216603367,0.0,0.13614649641615773,0.0,0.0,0.14586885046554696
18.0,No size in title,ALL ABOUT EVE ,hat,ALL ABOUT EVE - Wool felt fedora hat!,0.050785971997862424,0.004630216929806159,0.0003171495963455506,0.009714813521184144,0.04527991293272072,0.0,0.0,0.02412497105570315
0.0,12,ALL BEAUTIFUL ,top,ALL BEAUTIFUL - Mesh top! 12,0.026617320227919773,0.0,0.0,0.07132367681812612,0.022774624876699175,0.0,0.0,0.08068843193825664
29.0,No size in title,ALPAS ,scarf,ALPAS - Super soft pink scarf!,0.03051564690095897,0.0004108312268105284,0.003708715214734318,0.02179572962872417,0.020138170604177486,0.04089416410234854,0.007131566240683764,0.012195945332910407
