text,price,size,cleaned_text,category,brand
TRELISE COOPER - Extra long sleeve lace top! 14,55.0,14,Extra long sleeve lace  ,top,TRELISE COOPER 
TRELISE COOPER - Hazed floral silk skirt! 14,79.0,14,Hazed floral silk  ,skirt,TRELISE COOPER 
TRELISE COOPER - Leather tassel!,20.0,No size in title,Leather  ,tassel,TRELISE COOPER 
TRELISE COOPER - Polka Dot tutu spiral skirt! 12,65.0,12,Polka Dot tutu spiral  ,skirt,TRELISE COOPER 
TRELISE COOPER - Silk + lace cami! 12-14,35.0,12-14,Silk + lace  ,cami,TRELISE COOPER 
TRELISE COOPER - Silk chiffon ruffle hem dress! 12,79.0,12,Silk chiffon ruffle hem  ,dress,TRELISE COOPER 
TRELISE COOPER - Smokey marble cuff bangle!,15.0,No size in title,Smokey marble cuff  ,bangle,TRELISE COOPER 
TRELISE COOPER - Taupe metal thread coat! 10-12,99.0,10-12,Taupe metal thread  ,coat,TRELISE COOPER 
"TRELISE COOPER Black ""Legging Things Done"" 14",25.0,14,Legging Things,"Done""",TRELISE COOPER Black
"TRENERY ""Painterly"" spot pleat dress! 6-10",0.0,6-10,Painterly spot pleat,dress,TRENERY
"TRENERY (BN) ""Mini geo print"" linen tee! 12-14",40.0,12-14,"(BN) ""Mini geo print"" linen",tee,TRENERY
"TRENERY (BN) ""Modern midi"" skirt! 10",39.0,10,"(BN) ""Modern midi""",skirt,TRENERY
"TRENERY (BN) ""Textured cotton tee! 10-12",30.0,10-12,"(BN) ""Textured cotton",tee,TRENERY
"TRENERY (BN) ""Tuck sleeve"" orange top! 12",49.0,12,"(BN) ""Tuck sleeve"" orange",top,TRENERY
TRENERY (BN) Coral wrap dress! 10,55.0,10,(BN) Coral wrap,dress,TRENERY
TRENERY (BN) Modal lyocell gathered shoulder tee! 10-12,25.0,10-12,(BN) Modal lyocell gathered shoulder,tee,TRENERY
"TRENERY - BN ""Geo scarf print"" tunic! 16",49.0,16,"BN ""Geo scarf print""  ",tunic,TRENERY 
"TRENERY - BN ""Molly espadrille"" wedges! 40",70.0,40,"BN ""Molly espadrille""  ",wedges,TRENERY 
TRENERY - BN Bangle!,10.0,No size in title,BN  ,Bangle,TRENERY 
TRENERY - Chambray blue sweater top! 12,29.0,12,Chambray blue sweater  ,top,TRENERY 
TRENERY - Cotton poplin blurred line sundress! 16,75.0,16,Cotton poplin blurred line  ,sundress,TRENERY 
TRENERY - Cotton stretch skirt! 16,29.0,16,Cotton stretch  ,skirt,TRENERY 
TRENERY - Cowl neck top! 10-12,25.0,10-12,Cowl neck  ,top,TRENERY 
TRENERY - Dark blue dress pant! 10,45.0,10,Dark blue dress  ,pant,TRENERY 
TRENERY - Green leather bag!,49.0,No size in title,Green leather  ,bag,TRENERY 
TRENERY - Linen blend A-line skirt! 14,40.0,14,Linen blend Aline  ,skirt,TRENERY 
TRENERY - Linen blend tulip skirt! 12,45.0,12,Linen blend tulip  ,skirt,TRENERY 
TRENERY - Micro pleat skirt! 10,40.0,10,Micro pleat  ,skirt,TRENERY 
TRENERY - Pointed leather dress shoes! 40,60.0,40,Pointed leather dress  ,shoes,TRENERY 
TRENERY - Wool dress pant! 10,39.0,10,Wool dress  ,pant,TRENERY 
TRIX & DANDY (NZ) Lace cocktail dress! 10,49.0,10,(NZ) Lace cocktail,dress,TRIX & DANDY
TRUE RELIGION - Flared jeans! 10,75.0,10,Flared  ,jeans,TRUE RELIGION 
TRUE RELIGION - Flared jeans! 10,49.0,10,Flared  ,jeans,TRUE RELIGION 
TS - Drape pocket skirt! 20,25.0,20,Drape pocket  ,skirt,TS 
TS - Emerald tuck detail tunic! 20,38.0,20,Emerald tuck detail  ,tunic,TS 
TS - Monochrome drape detail tunic! 16,30.0,16,Monochrome drape detail  ,tunic,TS 
TS - Raspberry bauble necklace!,18.5,No size in title,Raspberry bauble  ,necklace,TS 
TS - Red mesh panel tunic dress! 18-20,29.0,18-20,Red mesh panel tunic  ,dress,TS 
TS - Stripe knit jacket/cardi! 18,28.0,18,Stripe knit  ,jacket/cardi,TS 
TS - Velvet spotted coat! 18,95.0,18,Velvet spotted  ,coat,TS 
TS - Wool blend cutout detail vest! 12-14,29.0,12-14,Wool blend cutout detail  ,vest,TS 
TS 14+ - Crepe chiffon cut out jacket! 14,19.0,14,Crepe chiffon cut out  ,jacket,TS 14+ 
TS 14+ - Embossed top! 22,35.0,22,Embossed  ,top,TS 14+ 
TS 14+ Accordion pleat light duster coat! 16,49.0,16,Accordion pleat light duster,coat,Accordion pleat light duster
TS 14+ Angled tunic top! 14-16,22.5,14-16,Angled tunic,top,Angled tunic
TS 14+ Coral crush tunic dress! 14-16,35.0,14-16,Coral crush tunic,dress,Coral crush tunic
TS 14+ Crushed watermelon cardi! 16,45.0,16,Crushed watermelon,cardi,Crushed watermelon
TS14+ - Black ponte pant! 20,29.0,20,Black ponte  ,pant,TS14+ 
TS14+ - Shredded knit vest! 14-16,25.0,14-16,Shredded knit  ,vest,TS14+ 
TS14+ Grey marle asymmetric top! 20,30.0,20,Grey marle asymmetric,top,Not listed in title
"TUESDAY ""Miriam"" Stripe midi dress! 14",75.0,14,Miriam Stripe midi,dress,TUESDAY
"TUESDAY ""Tara"" wine spot dress! 14",69.0,14,Tara wine spot,dress,TUESDAY
TUESDAY - Navy floral lace top! 14,42.0,14,Navy floral lace  ,top,TUESDAY 
TUESDAY - White floral lace top! 14,42.0,14,White floral lace  ,top,TUESDAY 
TURET KNUEFERMANN (NZ) Horse print top! 8-16,75.0,8-16,(NZ) Horse print,top,TURET KNUEFERMANN
TURET KNUEFERMANN - Silk shirt ! 12,45.0,12,Silk shirt  ,,TURET KNUEFERMANN 
TURQUIOSE blue resin bangle!,8.0,No size in title,turquiose blue resin  ,bangle,Not listed in title
TURQUOISE beaded floral bracelet!,15.0,No size in title,turquoise beaded floral  ,bracelet,Not listed in title
TWIN LAKES - Stripe + Metallic top! 12,16.5,12,Stripe + Metallic  ,top,TWIN LAKES 
TWIN LAKES - Stripe top! 12,16.5,12,Stripe  ,top,TWIN LAKES 
TWO BY TWO (BN) V neck tuck dress 2.0! 14-16,85.0,14-16,(BN) V neck tuck dress,2.0,TWO BY TWO
TWO BY TWO - Monster print tunic! 10-12,45.0,10-12,Monster print  ,tunic,TWO BY TWO 
TWO DAUGHTERS (NZ) Harem sweat shorts! 14,59.0,14,(NZ) Harem sweat,shorts,TWO DAUGHTERS
TWO DAUGHTERS (NZ) Origami dress bitter brown! 10-12,69.0,10-12,(NZ) Origami dress bitter,brown,TWO DAUGHTERS
TWO DAUGHTERS (NZ) Reversible circular tee! 10-12,79.0,10-12,(NZ) Reversible circular,tee,TWO DAUGHTERS
TWO DAUGHTERS - Oversized boxy top! 16-18,50.0,16-18,Oversized boxy  ,top,TWO DAUGHTERS 
TWO DAUGHTERS - Twist detail merino tunic! 10-12,69.0,10-12,Twist detail merino  ,tunic,TWO DAUGHTERS 
TWO DAUGHTERS - Yellow circular tee! 8-12,29.0,8-12,Yellow circular  ,tee,TWO DAUGHTERS 
"TY-LR ""The vision"" wrap skirt! 12",65.0,12,"""The vision"" wrap",skirt,TY-LR
Tassel + shell bracelet!,8.0,No size in title,tassel + shell  ,bracelet,Not listed in title
Toffee + green Glass Ring!,12.0,No size in title,toffee + green glass  ,Ring,Not listed in title
"Trelise cooper ""Belle swinger"" silk mix skirt! 8-10",42.0,8-10,Belle swinger silk mix,skirt,Trelise cooper
UGG - Suede leather sneakers! 10,45.0,10,Suede leather  ,sneakers,UGG 
ULDAHL - Chiffon + cable knit top! 10-16,30.0,10-16,Chiffon + cable knit  ,top,ULDAHL 
ULTIMO - BN Crossover stretch pant! 14,39.0,14,BN Crossover stretch  ,pant,ULTIMO 
UNTOUCHED WORLD (NZ) Organic merino polo neck top! 14,59.0,14,(NZ) Organic merino polo neck,top,UNTOUCHED WORLD
"UP (AU) BN ""Illusion"" Slimming polka dot pant! 12",65.0,12,"(AU) BN ""Illusion"" Slimming polka dot",pant,UP
URBAN - Embroidered beach dress! 14,29.0,14,Embroidered beach  ,dress,URBAN 
URBAN - Pink camo skirt! 16,35.0,16,Pink camo  ,skirt,URBAN 
URBAN PRECINCT - Embellished dress! 10-12,30.0,10-12,Embellished  ,dress,URBAN PRECINCT 
URBAN PRECINCT - Leopard print top! 12,19.0,12,Leopard print  ,top,URBAN PRECINCT 
URBAN PRECINCT - Scandi jacquard dress! 12-14,45.0,12-14,Scandi jacquard  ,dress,URBAN PRECINCT 
URBAN PRECINCT - Sleeveless dress jacket! 12,25.0,12,Sleeveless dress  ,jacket,URBAN PRECINCT 
URBAN PRECINCT - Tribal slimming top! 12,22.0,12,Tribal slimming  ,top,URBAN PRECINCT 
"UTOPIA ""Jackson"" Olive leather boots! 39",79.0,39,Jackson Olive leather,boots,UTOPIA
"VALERIA GROSSI ""Pandora"" leather heels! 38",49.0,38,Pandora leather,heels,VALERIA GROSSI
VALERIA GROSSI - BN Leather die cut wedge! 38,42.0,38,BN Leather die cut  ,wedge,VALERIA GROSSI 
VALERIA GROSSI - Floral cut out heels! 10,39.0,10,Floral cut out  ,heels,VALERIA GROSSI 
VALERIA GROSSI - Leather open toe heels! 8.5-9,69.0,8.5-9,Leather open toe  ,heels,VALERIA GROSSI 
VAMP (NZ) Black satin jacket! 14,40.0,14,(NZ) Black satin,jacket,VAMP
VAMP - BN Waterfall cinch jacket! 14,49.0,14,BN Waterfall cinch  ,jacket,VAMP 
VAMP - Blurred rose print top! 12,30.0,12,Blurred rose print  ,top,VAMP 
VAMP - Gold sequin front top! 12,42.0,12,Gold sequin front  ,top,VAMP 
VAMP - Linen pencil skirt! 10,39.0,10,Linen pencil  ,skirt,VAMP 
VAN HEUSEN - Cornflower stripe shirt! 12,19.0,12,Cornflower stripe  ,shirt,VAN HEUSEN 
VANILLA INK (NZ) Ponte knit dress! 10-12,60.0,10-12,(NZ) Ponte knit,dress,VANILLA INK
VANILLA INK (NZ) Tulip jacquard dress! 12,75.0,12,(NZ) Tulip jacquard,dress,VANILLA INK
VANILLA MOON - Patent cobalt loafers! 8,59.0,8,Patent cobalt  ,loafers,VANILLA MOON 
VANISHING ELEPHANT - Palm print trench coat! 12-14,45.0,12-14,Palm print trench  ,coat,VANISHING ELEPHANT 
VARGO - Onyx beaded shift dress! 10,49.0,10,Onyx beaded shift  ,dress,VARGO 
VASSALLI - Spotted relaxed fit pant! 16,39.0,16,Spotted relaxed fit  ,pant,VASSALLI 
VDESIGNS (NZ) Carved flower button up jacket! 20,42.0,20,(NZ) Carved flower button up,jacket,VDESIGNS
VEDUCCI (AU) Wool blend coat! 12-14,45.0,12-14,(AU) Wool blend,coat,VEDUCCI
VELOCITY - BN Open front tunic! 10/12,35.0,10/12,BN Open front  ,tunic,VELOCITY 
VELVET - Blossom print dress! 14,59.0,14,Blossom print  ,dress,VELVET 
VELVET - Lace inset blouse! 14,50.0,14,Lace inset  ,blouse,VELVET 
