text,price_x,size,cleaned_text,category,brand,lower_title,TITLE,BUST,COLOUR,CONDITION,DESIGNER NOTES,FABRIC,FITS LIKE,HEIGHT,INNER SOLE,MEASUREMENTS,NOTES,SIZE ON BELT,SIZE ON SHOE,SIZE ON TAG,WAIST,price_y,url
PREEN - Berry merino cardi! 12,37.0,12,Berry merino  ,cardi,PREEN ,preen - berry merino cardi! 12,PREEN - BERRY MERINO CARDI! 12, 48cms     WAIST, Berry pink/purple," Good preloved, small repair near pocket - not very noticeable.",, Merino, 12,,,BUST: 48cms     WAIST: 46cms     LENGTH: 54-67cms,"  Medium weight merino knit with waterfall front, no fastening.  Front pockets",,, M,,$37.00,https://recycle-style.myshopify.com/collections/all/products/preen-berry-merino-cardi-13
PRETTY BASIC - Mila top fluro coral! 10-12,62.0,10-12,Mila top fluro  ,coral,PRETTY BASIC ,pretty basic - mila top fluro coral! 10-12,PRETTY BASIC - MILA TOP FLURO CORAL! 10-12, 55cms     WAIST, Fluro pink, Excellent preloved,, Polyester, 10-12,,,BUST: 55cms     WAIST: 54cms     LENGTH: 66-78cms,  Easy everyday tee with batwing sleeve.  Chiffon.  Standard fit.  Slip required. ,,, S,,$62.00,https://recycle-style.myshopify.com/collections/all/products/pretty-basic-fluro-pink-chiffon-top-10-12
"PRETTY BASIC By Augustine ""Raphael"" black pants! 12",70.0,12,Raphael black,pants,PRETTY BASIC By Augustine,"pretty basic by augustine ""raphael"" black pants! 12","PRETTY BASIC BY AUGUSTINE ""RAPHAEL"" BLACK PANTS! 12",, Black, Excellent preloved,," Polyester, Lining - 97% polyester, 3% elastane", N/A,,,WAIST: 40cms      HIPS: 67cms      RISE: 43cms      LENGTH: 52cms (From crotch to end of pant),,,, 12, 40cms      HIPS,$70.00,https://recycle-style.myshopify.com/collections/all/products/pretty-basic-by-augustine-black-pants-13
PRINCIPALS - Amazing Royal blue blouse! 8-10,19.0,8-10,Amazing Royal blue  ,blouse,PRINCIPALS ,principals - amazing royal blue blouse! 8-10,PRINCIPALS - AMAZING ROYAL BLUE BLOUSE! 8-10,,,,,,,,,,,,,,,$19.00,https://recycle-style.myshopify.com/collections/all/products/principals-amazing-royal-blue-blouse-8-10
PRINCIPALS - Coral bloom print top! 10,15.0,10,Coral bloom print  ,top,PRINCIPALS ,principals - coral bloom print top! 10,PRINCIPALS - CORAL BLOOM PRINT TOP! 10,,,,,,,,,,,,,,,$15.00,https://recycle-style.myshopify.com/collections/all/products/principals-coral-bloom-print-top-10
PRINCIPALS - Floral dress! 12,20.0,12,Floral  ,dress,PRINCIPALS ,principals - floral dress! 12,PRINCIPALS - FLORAL DRESS! 12, 52cms     WAIST," Black, cream, multi"," Very good preloved, couple slight pulls.",," Polyester, Lace Trim - cotton", N/A,,,BUST: 52cms     WAIST: 51cms     LENGTH: 93cms, Shoulder exposed.  Pull over style.  Slip required.  Fabric has some stretch.  ,,, 12,,$20.00,https://recycle-style.myshopify.com/collections/all/products/principals-floral-dress-12
PRIVILEGE - Lightweight coat! 16,49.0,16,Lightweight  ,coat,PRIVILEGE ,privilege - lightweight coat! 16,PRIVILEGE - LIGHTWEIGHT COAT! 16, 60cms     WAIST," Black, dark brown, white", Excellent preloved,, Polyester, N/A,,,BUST: 60cms     WAIST: 54cms     LENGTH: 101cms, Snap button up front.  Fabric has stretch.  Elasticated sleeve ends.  Collar has drawstring.  ,,, 16,,$49.00,https://recycle-style.myshopify.com/collections/all/products/privilege-coat-16
PROGETTO (ITA) Leather ankle boots! 8-8.5,65.0,8-8.5,(ITA) Leather ankle,boots,PROGETTO,progetto (ita) leather ankle boots! 8-8.5,PROGETTO (ITA) LEATHER ANKLE BOOTS! 8-8.5,,,,,,,,,,,,,,,$65.00,https://recycle-style.myshopify.com/collections/all/products/progetto-ita-leather-ankle-boots-8-8-5
PROMOD - BN Lace over orange skirt! 8,29.0,8,BN Lace over orange  ,skirt,PROMOD ,promod - bn lace over orange skirt! 8,PROMOD - BN LACE OVER ORANGE SKIRT! 8,,,,,,,,,,,,,,,$29.00,https://recycle-style.myshopify.com/collections/all/products/promod-bn-lace-over-orange-skirt-8
PU Orange Bucket Hat!,18.0,No size in title,pu orange bucket  ,Hat,Not listed in title,pu orange bucket hat!,PU ORANGE BUCKET HAT!,, Glossy orange, Excellent preloved,, PU,,,,, Fully lined.  Great for travel as folds down compactly.  Very Karen Walker in style!,,,,,$18.00,https://recycle-style.myshopify.com/collections/all/products/pu-orange-bucket-hat-1
